mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__activation,param_mlp__alpha,param_mlp__hidden_layer_sizes,param_mlp__learning_rate_init,param_mlp__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.1112823486328125,0.05740285753245665,0.0017187118530273438,0.00022852021697911703,relu,0.001,"(100,)",0.01,adam,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.01, 'mlp__solver': 'adam'}",1.0,0.9666666666666667,0.9,1.0,0.9,0.9533333333333334,0.04521553322083511,50,1.0,0.9833333333333333,1.0,1.0,1.0,0.9966666666666667,0.006666666666666687
0.17672300338745117,0.0164361108649391,0.001934385299682617,0.0003550410044544288,relu,0.001,"(100,)",0.01,sgd,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.01, 'mlp__solver': 'sgd'}",1.0,0.9666666666666667,0.9,1.0,0.9,0.9533333333333334,0.04521553322083511,50,0.9666666666666667,0.9666666666666667,0.9916666666666667,0.975,0.975,0.975,0.009128709291752777
0.1913754940032959,0.03154660073836973,0.001717519760131836,0.00020369166249471608,relu,0.001,"(50, 50)",0.001,adam,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam'}",1.0,0.9666666666666667,0.8666666666666667,1.0,0.9,0.9466666666666667,0.05416025603090639,101,0.9833333333333333,0.9833333333333333,1.0,0.9833333333333333,0.9916666666666667,0.9883333333333333,0.006666666666666693
0.5527331352233886,0.06713123720450995,0.001731109619140625,0.00015227571979732502,relu,0.001,"(50, 50)",0.001,sgd,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'sgd'}",1.0,0.9666666666666667,0.9,1.0,0.9,0.9533333333333334,0.04521553322083511,50,0.9583333333333334,0.95,0.9833333333333333,0.9583333333333334,0.975,0.9650000000000001,0.012247448713915874
0.07814955711364746,0.024107831883969928,0.0018901348114013672,0.00042385076791987784,relu,0.001,"(50, 50)",0.01,adam,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate_init': 0.01, 'mlp__solver': 'adam'}",1.0,0.9666666666666667,0.8666666666666667,1.0,0.8666666666666667,0.9400000000000001,0.06110100926607785,120,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.15141549110412597,0.028845423209850445,0.0017062187194824218,0.00020572821858596041,relu,0.001,"(50, 50)",0.01,sgd,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate_init': 0.01, 'mlp__solver': 'sgd'}",1.0,0.9666666666666667,0.9,1.0,0.9,0.9533333333333334,0.04521553322083511,50,0.9833333333333333,0.975,1.0,0.975,0.975,0.9816666666666667,0.009718253158075509
0.19466686248779297,0.057309229833352654,0.0017337322235107422,0.00015241929515303737,relu,0.001,"(100, 50)",0.001,adam,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam'}",1.0,0.9666666666666667,0.8666666666666667,1.0,0.9,0.9466666666666667,0.05416025603090639,101,0.9833333333333333,0.9833333333333333,1.0,0.9833333333333333,1.0,0.99,0.008164965809277286
0.7166446685791016,0.11249764026376105,0.001657390594482422,0.00012890122914221985,relu,0.001,"(100, 50)",0.001,sgd,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'sgd'}",1.0,0.9666666666666667,0.9,1.0,0.9,0.9533333333333334,0.04521553322083511,50,0.9666666666666667,0.9666666666666667,0.9833333333333333,0.9583333333333334,0.9666666666666667,0.9683333333333334,0.008164965809277232
0.08006558418273926,0.027681626219322325,0.002150440216064453,0.0005171459264984095,relu,0.001,"(100, 50)",0.01,adam,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__learning_rate_init': 0.01, 'mlp__solver': 'adam'}",1.0,0.9666666666666667,0.8666666666666667,1.0,0.9,0.9466666666666667,0.05416025603090639,101,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.19633698463439941,0.029243549690834435,0.001947021484375,0.0002760708676303439,relu,0.001,"(100, 50)",0.01,sgd,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__learning_rate_init': 0.01, 'mlp__solver': 'sgd'}",1.0,0.9666666666666667,0.9,1.0,0.9,0.9533333333333334,0.04521553322083511,50,0.9833333333333333,0.975,1.0,0.975,0.9833333333333333,0.9833333333333332,0.009128709291752777
